epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.449,1.93683,3.66018,1.61404,0.01539,0.22213,0.00943,0.00454,1.18599,3.53461,1.17124,2e-05,2e-05,2e-05
2,75.022,1.59033,3.64039,1.44032,0.02617,0.37771,0.01808,0.01034,1.1531,3.4832,1.13036,5.901e-05,5.901e-05,5.901e-05
3,104.969,1.26731,3.55878,1.29177,0.0465,0.67121,0.04609,0.02955,1.19412,3.39266,1.10388,9.67e-05,9.67e-05,9.67e-05
4,134.19,1.16063,3.32334,1.18648,0.05722,0.82598,0.07791,0.051,1.20326,3.28957,1.07485,0.00013307,0.00013307,0.00013307
5,163.489,1.33148,3.16142,1.21224,0.0605,0.8733,0.08842,0.05658,1.18222,3.23176,1.05176,0.00016812,0.00016812,0.00016812
6,193.138,1.31482,2.97863,1.18181,0.0615,0.88773,0.08865,0.05736,1.15294,3.17879,1.03247,0.00020185,0.00020185,0.00020185
7,225.141,1.1034,2.5871,1.05579,0.06217,0.89735,0.09011,0.05787,1.15153,3.13055,1.0258,0.00023426,0.00023426,0.00023426
8,254.136,1.09073,2.18369,1.01072,0.06233,0.89976,0.09295,0.05753,1.1939,3.06961,1.03618,0.00026535,0.00026535,0.00026535
9,283.587,1.19226,2.05458,1.08183,0.0625,0.90217,0.45652,0.31982,1.22434,2.94783,1.03687,0.00029512,0.00029512,0.00029512
10,312.66,1.37258,1.89225,1.11402,0.06267,0.90457,0.73578,0.50389,1.20096,2.7293,1.03477,0.00032357,0.00032357,0.00032357
11,341.582,0.98986,1.23426,0.95486,0.93601,0.44576,0.80125,0.54467,1.27999,2.47158,1.08326,0.0003507,0.0003507,0.0003507
12,370.071,0.9949,1.03289,0.96244,0.93601,0.44576,0.80125,0.54467,1.27999,2.47158,1.08326,0.00037651,0.00037651,0.00037651
13,399.116,0.98625,1.14859,0.96324,0.88998,0.66169,0.81644,0.52989,1.44657,2.19647,1.17659,0.000401,0.000401,0.000401
14,428.923,0.91979,0.96728,0.94159,0.85148,0.76423,0.82498,0.54606,1.42571,1.95221,1.20027,0.00042417,0.00042417,0.00042417
15,457.45,0.97361,0.9573,0.97313,0.85148,0.76423,0.82498,0.54606,1.42571,1.95221,1.20027,0.00044602,0.00044602,0.00044602
16,486.34,1.02067,0.92648,0.97077,0.83945,0.76728,0.82479,0.57636,1.2498,1.83778,1.12715,0.00046655,0.00046655,0.00046655
17,515.125,0.91145,0.84819,0.94649,0.84795,0.73617,0.78678,0.54249,1.21107,1.89125,1.11961,0.00048576,0.00048576,0.00048576
18,543.66,1.01029,0.87992,0.99276,0.84795,0.73617,0.78678,0.54249,1.21107,1.89125,1.11961,0.00050365,0.00050365,0.00050365
19,572.593,0.93127,0.82691,0.95979,0.74768,0.62791,0.68412,0.45284,1.23371,2.04393,1.16923,0.00052022,0.00052022,0.00052022
20,601.189,0.93276,0.7817,0.94942,0.74768,0.62791,0.68412,0.45284,1.23371,2.04393,1.16923,0.00053547,0.00053547,0.00053547
21,629.421,0.84905,0.76367,0.93049,0.49056,0.54518,0.40737,0.28015,1.19306,2.20882,1.18282,0.0005494,0.0005494,0.0005494
22,658.216,0.93102,0.79608,0.95641,0.49056,0.54518,0.40737,0.28015,1.19306,2.20882,1.18282,0.00056201,0.00056201,0.00056201
23,686.928,0.95542,0.78621,0.95617,0.63722,0.52045,0.50451,0.35465,1.13129,2.17125,1.17677,0.0005733,0.0005733,0.0005733
24,714.599,0.82304,0.73313,0.90249,0.63722,0.52045,0.50451,0.35465,1.13129,2.17125,1.17677,0.00058327,0.00058327,0.00058327
25,743.251,0.95676,0.85137,0.96597,0.49545,0.50003,0.37958,0.27112,1.1408,2.2659,1.18034,0.00059192,0.00059192,0.00059192
26,771.174,0.94016,0.83109,0.96473,0.49545,0.50003,0.37958,0.27112,1.1408,2.2659,1.18034,0.00059925,0.00059925,0.00059925
27,799.32,0.92761,0.77203,0.94995,0.49545,0.50003,0.37958,0.27112,1.1408,2.2659,1.18034,0.00060526,0.00060526,0.00060526
28,827.252,0.81085,0.65796,0.91949,0.635,0.51564,0.49941,0.35751,1.14846,2.11503,1.17601,0.00060995,0.00060995,0.00060995
29,855.442,0.8938,0.7327,0.93888,0.635,0.51564,0.49941,0.35751,1.14846,2.11503,1.17601,0.00061332,0.00061332,0.00061332
30,883.749,0.90996,0.7533,0.94625,0.74047,0.49879,0.5696,0.40845,1.13349,2.11104,1.13759,0.00061537,0.00061537,0.00061537
31,911.468,0.91012,0.68235,0.94527,0.74047,0.49879,0.5696,0.40845,1.13349,2.11104,1.13759,0.0006161,0.0006161,0.0006161
32,939.625,0.8929,0.77083,0.94367,0.74047,0.49879,0.5696,0.40845,1.13349,2.11104,1.13759,0.00061551,0.00061551,0.00061551
33,967.879,0.93738,0.74707,0.95367,0.71176,0.51002,0.56948,0.41609,1.13535,2.08311,1.11287,0.0006136,0.0006136,0.0006136
34,996.129,0.90796,0.74793,0.93911,0.71176,0.51002,0.56948,0.41609,1.13535,2.08311,1.11287,0.00061037,0.00061037,0.00061037
35,1025.63,0.8205,0.65302,0.92522,0.71176,0.51002,0.56948,0.41609,1.13535,2.08311,1.11287,0.00060582,0.00060582,0.00060582
36,1053.92,0.87711,0.70888,0.93176,0.72315,0.56556,0.62673,0.43795,1.20239,1.88208,1.10446,0.00059995,0.00059995,0.00059995
37,1081.88,0.83778,0.66906,0.92386,0.72315,0.56556,0.62673,0.43795,1.20239,1.88208,1.10446,0.00059276,0.00059276,0.00059276
38,1109.75,0.80043,0.66228,0.90767,0.72315,0.56556,0.62673,0.43795,1.20239,1.88208,1.10446,0.00058425,0.00058425,0.00058425
39,1138.29,0.89275,0.68246,0.94485,0.77004,0.6391,0.68208,0.47707,1.19225,1.64064,1.06565,0.00057442,0.00057442,0.00057442
40,1166.37,0.80548,0.64096,0.90947,0.77004,0.6391,0.68208,0.47707,1.19225,1.64064,1.06565,0.00056327,0.00056327,0.00056327
41,1194.53,0.89452,0.69883,0.92999,0.77004,0.6391,0.68208,0.47707,1.19225,1.64064,1.06565,0.0005508,0.0005508,0.0005508
42,1223.25,0.86657,0.67693,0.91932,0.73289,0.68484,0.71449,0.51767,1.11006,1.42062,1.02459,0.00053701,0.00053701,0.00053701
43,1251.52,0.83982,0.65359,0.90981,0.73289,0.68484,0.71449,0.51767,1.11006,1.42062,1.02459,0.0005219,0.0005219,0.0005219
44,1279.85,0.85237,0.65561,0.9239,0.73289,0.68484,0.71449,0.51767,1.11006,1.42062,1.02459,0.00050547,0.00050547,0.00050547
45,1307.94,0.80263,0.64098,0.90827,0.73289,0.68484,0.71449,0.51767,1.11006,1.42062,1.02459,0.00048772,0.00048772,0.00048772
46,1336.79,0.82545,0.66415,0.90049,0.7451,0.70794,0.73889,0.53956,1.08132,1.27261,1.01171,0.00046865,0.00046865,0.00046865
47,1365.66,0.97109,0.73797,0.97762,0.7451,0.70794,0.73889,0.53956,1.08132,1.27261,1.01171,0.00044826,0.00044826,0.00044826
48,1394.25,0.82626,0.69221,0.90773,0.7451,0.70794,0.73889,0.53956,1.08132,1.27261,1.01171,0.00042655,0.00042655,0.00042655
49,1422.78,0.79844,0.61679,0.89565,0.7451,0.70794,0.73889,0.53956,1.08132,1.27261,1.01171,0.00040352,0.00040352,0.00040352
50,1451.73,0.86215,0.66259,0.92231,0.76651,0.72013,0.75539,0.53525,1.11363,1.20062,1.01823,0.00037917,0.00037917,0.00037917
51,1480.59,0.7169,0.58521,0.86864,0.76651,0.72013,0.75539,0.53525,1.11363,1.20062,1.01823,0.00035,0.00035,0.00035
52,1509.2,0.79181,0.63617,0.89219,0.76651,0.72013,0.75539,0.53525,1.11363,1.20062,1.01823,0.000317,0.000317,0.000317
53,1538.07,0.75967,0.62372,0.89078,0.76651,0.72013,0.75539,0.53525,1.11363,1.20062,1.01823,0.000284,0.000284,0.000284
54,1568.63,0.80086,0.62711,0.91171,0.78367,0.72918,0.77487,0.53451,1.13542,1.15172,1.01668,0.000251,0.000251,0.000251
55,1597.87,0.76979,0.60422,0.8789,0.78367,0.72918,0.77487,0.53451,1.13542,1.15172,1.01668,0.000218,0.000218,0.000218
56,1627.7,0.73933,0.58314,0.8809,0.78367,0.72918,0.77487,0.53451,1.13542,1.15172,1.01668,0.000185,0.000185,0.000185
57,1657,0.76315,0.58417,0.88634,0.78367,0.72918,0.77487,0.53451,1.13542,1.15172,1.01668,0.000152,0.000152,0.000152
58,1686.6,0.77079,0.5925,0.88288,0.79497,0.74499,0.78905,0.55573,1.1098,1.14099,1.01012,0.000119,0.000119,0.000119
59,1715.86,0.77516,0.61937,0.89172,0.79497,0.74499,0.78905,0.55573,1.1098,1.14099,1.01012,8.6e-05,8.6e-05,8.6e-05
60,1745.18,0.73566,0.59861,0.88297,0.79497,0.74499,0.78905,0.55573,1.1098,1.14099,1.01012,5.3e-05,5.3e-05,5.3e-05
